,entity,address,label,n_transactions,block_height_max-min,fee_mean,fee_median,fee_std,fee_min,fee_max,fee_max-min,size_mean,size_median,size_std,size_min,size_max,weight_mean,weight_median,weight_std,weight_min,weight_max,vin_sz_mean,vin_sz_median,vin_sz_std,vin_sz_min,vin_sz_max,vout_sz_mean,vout_sz_median,vout_sz_std,vout_sz_min,vout_sz_max,inputsAmount_mean,inputsAmount_median,inputsAmount_std,inputsAmount_min,inputsAmount_max,outputsAmount_mean,outputsAmount_median,outputsAmount_std,outputsAmount_min,outputsAmount_max
3630,GHash.io,143aLUiKhjCV3yzZHvLcJR2FQu4L1eigpA,pool,7.0,1767.0,94285.7143,30000.0,91316.8961,0.0,270000.0,270000.0,8072.0,2570.0,7478.3862,227.0,21362.0,32288.0,10280.0,29913.5447,908.0,85448.0,34.1429,1.0,53.4534,1.0,144.0,88.1429,70.0,131.9788,1.0,402.0,2507900160.8571,1000270000.0,3834516817.7411,30070.0,11551316203.0,2507805875.1429,1000000000.0,3834489892.9299,70.0,11551166203.0
3631,GHash.io,19nG7UWxuuu9LjAvbm2p9gTo7BSPURrfEg,pool,7.0,1767.0,72857.1429,30000.0,93306.6045,0.0,270000.0,270000.0,7016.2857,2570.0,7015.5816,226.0,21362.0,28065.1429,10280.0,28062.3262,904.0,85448.0,40.1429,1.0,52.1877,1.0,144.0,31.0,2.0,33.7766,1.0,70.0,1214934411.7143,1000270000.0,1161217986.9375,30070.0,2502022143.0,1214861554.5714,1000000000.0,1161214837.3103,70.0,2502022143.0
3632,GHash.io,1HiZDxianETrEGenhXdLNFfWMkuV1nM6CX,pool,7.0,1767.0,94285.7143,30000.0,91316.8961,0.0,270000.0,270000.0,8050.8571,2570.0,7460.8747,226.0,21362.0,32203.4286,10280.0,29843.4988,904.0,85448.0,34.0,1.0,53.5324,1.0,144.0,88.1429,70.0,131.9788,1.0,402.0,1863945903.4286,1000270000.0,2669816984.2783,30070.0,8043766482.0,1863851617.7143,1000000000.0,2669783724.4182,70.0,8043616482.0
3633,GHash.io,1JzAoo5vFCsSK8yRyHqn2gcepMbo1HXD8w,pool,6.0,1767.0,85000.0,30000.0,95524.8659,0.0,270000.0,270000.0,7014.3333,2570.0,7577.6924,226.0,21362.0,28057.3333,10280.0,30310.7695,904.0,85448.0,39.0,1.0,56.288,1.0,144.0,35.8333,36.0,34.1683,1.0,70.0,1000657353.1667,500150035.0,1118822001.3545,30070.0,2502429196.0,1000572353.1667,500000035.0,1118801907.6906,70.0,2502429196.0
3634,GHash.io,1MEmM4UjmRsH6kJjVdBKhFDdaeEYSmDwXs,pool,7.0,1767.0,72857.1429,30000.0,93306.6045,0.0,270000.0,270000.0,7016.2857,2570.0,7015.5816,226.0,21362.0,28065.1429,10280.0,28062.3262,904.0,85448.0,40.1429,1.0,52.1877,1.0,144.0,31.0,2.0,33.7766,1.0,70.0,1214925771.4286,1000270000.0,1161208410.245,30070.0,2501961661.0,1214852914.2857,1000000000.0,1161205260.0497,70.0,2501961661.0
3635,GHash.io,1MW6fLD5xQWc8QNMcYSaoFaZRbfvZDVegv,pool,7.0,1767.0,72857.1429,30000.0,93306.6045,0.0,270000.0,270000.0,6381.7143,2570.0,7184.6783,226.0,21362.0,25526.8571,10280.0,28738.7133,904.0,85448.0,35.8571,1.0,52.6781,1.0,144.0,31.0,2.0,33.7766,1.0,70.0,1214995894.4286,1000270000.0,1161286140.681,30070.0,2502446153.0,1214923037.2857,1000000000.0,1161282995.096,70.0,2502446153.0
3636,GHash.io,1PHUBYwN2YSg4Sj1KwxQtK2UaqVi1YqGFa,pool,8.0,1767.0,63750.0,30000.0,90545.2235,0.0,270000.0,270000.0,6462.5,2578.0,6724.0491,226.0,21362.0,25850.0,10312.0,26896.1965,904.0,85448.0,37.25,9.0,49.4134,1.0,144.0,27.375,2.0,33.0187,1.0,70.0,1375751579.0,1750636908.0,1166580068.9908,30070.0,2502483708.0,1375687829.0,1750501908.0,1166586114.133,70.0,2502483708.0
3637,GHash.io,115VNbFGFjK8RCc1gZQCGTHERzpCQoBiFZ,pool,8.0,1302.0,55000.0,30000.0,57008.7713,0.0,150000.0,150000.0,5817.25,3543.0,4823.4268,225.0,14271.0,23269.0,14172.0,19293.7072,900.0,57084.0,21.375,2.5,29.3042,1.0,86.0,77.5,36.0,126.6244,2.0,402.0,2382869560.375,2501029378.5,2775713391.1161,30070.0,9057200358.0,2382814560.375,2501004264.5,2775676898.7662,70.0,9057050358.0
3638,GHash.io,15ftggf3tz9aVRTNzZYRsoHNaMo3aZx43N,pool,8.0,1302.0,36250.0,30000.0,46351.2405,0.0,150000.0,150000.0,4356.75,2578.0,3674.6257,226.0,12788.0,17427.0,10312.0,14698.5027,904.0,51152.0,23.0,9.0,28.6487,1.0,86.0,27.5,2.0,32.9204,2.0,70.0,1563344293.125,2501007000.5,1210938070.1168,30070.0,2502440480.0,1563308043.125,2501004264.5,1210933233.9575,70.0,2502440480.0
3639,GHash.io,1FKcQ97cmk1TJyk65fug4TzcHFk6pj6xxa,pool,7.0,1302.0,41428.5714,30000.0,47337.2615,0.0,150000.0,150000.0,3659.2857,2570.0,3967.7449,226.0,12788.0,14637.1429,10280.0,15870.9796,904.0,51152.0,17.4286,1.0,29.7074,1.0,86.0,31.1429,2.0,33.6513,2.0,70.0,1429279320.0,2501054941.0,1237766169.4981,30070.0,2501582688.0,1429237891.4286,2501004713.0,1237756274.9271,70.0,2501582688.0
3640,GHash.io,1LjyoVThVpNVSCURvK3iHpgtJ4gWvqJ93E,pool,6.0,1302.0,48333.3333,30000.0,47755.1626,0.0,150000.0,150000.0,4206.8333,2570.0,4033.3764,227.0,12788.0,16827.3333,10280.0,16133.5054,908.0,51152.0,20.0,1.0,31.3581,1.0,86.0,36.0,36.0,34.0,2.0,70.0,1250794226.1667,1250542505.5,1250764238.733,30070.0,2502465493.0,1250745892.8333,1250502391.5,1250745917.601,70.0,2502465493.0
3641,GHash.io,1LM4CBD5D77sEqX5DaFG3U98Ch6zFmcXw9,pool,7.0,598.0,35714.2857,30000.0,48360.8882,0.0,150000.0,150000.0,5263.2857,2570.0,4166.881,225.0,12788.0,21053.1429,10280.0,16667.524,900.0,51152.0,20.0,1.0,31.209,1.0,86.0,67.1429,70.0,82.5235,2.0,254.0,2004700916.1429,2501003816.0,2179729860.9872,30070.0,6528181565.0,2004665201.8571,2501003816.0,2179733840.8795,70.0,6528171565.0
3642,GHash.io,14GUepKsdZhbjVS3JL8FbiHkXEoG9MuV3W,pool,7.0,597.0,55714.2857,30000.0,60911.4446,0.0,150000.0,150000.0,6076.5714,2570.0,5248.8911,227.0,14783.0,24306.2857,10280.0,20995.5644,908.0,59132.0,20.5714,1.0,30.9278,1.0,86.0,88.5714,70.0,132.5647,2.0,404.0,3436921828.4286,2501003816.0,5478693770.5361,30070.0,16553746770.0,3436866114.1429,2501003816.0,5478654193.0389,70.0,16553596770.0
3643,GHash.io,14bsUfoNhkCEqJQaMtp1qEu3JUK9PYTFyj,pool,7.0,597.0,55714.2857,30000.0,60911.4446,0.0,150000.0,150000.0,4018.0,2570.0,4139.0322,226.0,12788.0,16072.0,10280.0,16556.1287,904.0,51152.0,19.8571,1.0,31.2886,1.0,86.0,31.1429,2.0,33.6513,2.0,70.0,1429329788.2857,2501003816.0,1237809892.5138,30070.0,2501884119.0,1429274074.0,2501003816.0,1237787617.1495,70.0,2501734119.0
3644,GHash.io,1BSkyqNFdpaKTD7nsXYqgJ7gtyFz37ahQa,pool,6.0,597.0,16666.6667,20000.0,13743.6854,0.0,30000.0,30000.0,3775.5,2570.0,2672.9449,225.0,7690.0,15102.0,10280.0,10691.7797,900.0,30760.0,9.0,1.0,17.0098,1.0,47.0,71.1667,70.0,70.343,2.0,213.0,1919814392.5,1250516943.0,2339971015.0825,30070.0,6515335870.0,1919797725.8333,1250501943.0,2339980048.3636,70.0,6515325870.0
3645,GHash.io,1BtJyNk1YsoiTckErHZuozqKrCZiPbnUP8,pool,7.0,597.0,55714.2857,30000.0,60911.4446,0.0,150000.0,150000.0,5977.1429,2570.0,5087.1248,227.0,14087.0,23908.5714,10280.0,20348.4991,908.0,56348.0,20.4286,1.0,30.9924,1.0,86.0,86.2857,70.0,127.1329,2.0,388.0,3079579154.5714,2501003816.0,4626861929.8764,30070.0,14052349799.0,3079523440.2857,2501003816.0,4626822347.8187,70.0,14052199799.0
3646,GHash.io,1G9Vi55NeTAAVdAqT5RTBuxsjQ3RcBdBBS,pool,7.0,597.0,34285.7143,30000.0,49239.1084,0.0,150000.0,150000.0,4334.0,2570.0,3927.8131,226.0,12788.0,17336.0,10280.0,15711.2522,904.0,51152.0,22.0,1.0,30.4959,1.0,86.0,31.1429,2.0,33.6513,2.0,70.0,1429383569.2857,2501003816.0,1237856523.4168,30070.0,2502426061.0,1429349283.5714,2501003816.0,1237852817.077,70.0,2502426061.0
