entity,address,label,n_transactions,block_height_max-min,fee_mean,fee_median,fee_std,fee_min,fee_max,fee_max-min,size_mean,size_median,size_std,size_min,size_max,weight_mean,weight_median,weight_std,weight_min,weight_max,vin_sz_mean,vin_sz_median,vin_sz_std,vin_sz_min,vin_sz_max,vout_sz_mean,vout_sz_median,vout_sz_std,vout_sz_min,vout_sz_max,inputsAmount_mean,inputsAmount_median,inputsAmount_std,inputsAmount_min,inputsAmount_max,outputsAmount_mean,outputsAmount_median,outputsAmount_std,outputsAmount_min,outputsAmount_max
AntPool.com-old2,19SuphSEomzwxTEUiSdKGfD64z5Erf5pV9,pool,2.0,2.0,15000.0,15000.0,15000.0,0.0,30000.0,30000.0,1555.5,1555.5,1181.5,374.0,2737.0,6222.0,6222.0,4726.0,1496.0,10948.0,10.0,10.0,8.0,2.0,18.0,2.0,2.0,0.0,2.0,2.0,21356728913.5,21356728913.5,18740050512.5,2616678401.0,40096779426.0,21356713913.5,21356713913.5,18740035512.5,2616678401.0,40096749426.0
AntPool.com-old2,1GTALa9wH26ADG7TPd9s47fqGp5U6d3NKp,pool,2.0,290.0,25000.0,25000.0,5000.0,20000.0,30000.0,10000.0,2146.0,2146.0,591.0,1555.0,2737.0,8584.0,8584.0,2364.0,6220.0,10948.0,14.0,14.0,4.0,10.0,18.0,2.0,2.0,0.0,2.0,2.0,32603125682.0,32603125682.0,7493653744.0,25109471938.0,40096779426.0,32603100682.0,32603100682.0,7493648744.0,25109451938.0,40096749426.0
AntPool.com-old2,12z6q2NATENX1VJvarQCzWuk2HuM3G8Xpo,pool,2.0,727.0,25000.0,25000.0,5000.0,20000.0,30000.0,10000.0,1921.5,1921.5,367.5,1554.0,2289.0,7686.0,7686.0,1470.0,6216.0,9156.0,12.5,12.5,2.5,10.0,15.0,2.0,2.0,0.0,2.0,2.0,26352402473.5,26352402473.5,1249054786.5,25103347687.0,27601457260.0,26352377473.5,26352377473.5,1249049786.5,25103327687.0,27601427260.0
AntPool.com-old2,1CPSinPm6TEk3z7BQ6qTt2fa8pH71wi8XF,pool,2.0,563.0,25000.0,25000.0,5000.0,20000.0,30000.0,10000.0,2068.0,2068.0,221.0,1847.0,2289.0,8272.0,8272.0,884.0,7388.0,9156.0,13.5,13.5,1.5,12.0,15.0,2.0,2.0,0.0,2.0,2.0,26351631333.5,26351631333.5,1249825926.5,25101805407.0,27601457260.0,26351606333.5,26351606333.5,1249820926.5,25101785407.0,27601427260.0
AntPool.com-old2,1D2VyXwzphKUDgX3sGXaz1m9wqaXxopq8F,pool,2.0,1885.0,25000.0,25000.0,5000.0,20000.0,30000.0,10000.0,1848.5,1848.5,440.5,1408.0,2289.0,7394.0,7394.0,1762.0,5632.0,9156.0,12.0,12.0,3.0,9.0,15.0,2.0,2.0,0.0,2.0,2.0,21351775843.5,21351775843.5,6249681416.5,15102094427.0,27601457260.0,21351750843.5,21351750843.5,6249676416.5,15102074427.0,27601427260.0
AntPool.com-old2,1FfKdZtJSMcZ8TdXCXTktGsnq1VfxoHELS,pool,2.0,978.0,15000.0,15000.0,15000.0,0.0,30000.0,30000.0,1552.5,1552.5,736.5,816.0,2289.0,6210.0,6210.0,2946.0,3264.0,9156.0,10.0,10.0,5.0,5.0,15.0,2.0,2.0,0.0,2.0,2.0,16351642697.0,16351642697.0,11249814563.0,5101828134.0,27601457260.0,16351627697.0,16351627697.0,11249799563.0,5101828134.0,27601427260.0
AntPool.com-old2,191ZUuXzuWTSZmEWtNWpMgMvMUTpgRcPLU,pool,2.0,126.0,20000.0,20000.0,0.0,20000.0,20000.0,0.0,1701.0,1701.0,148.0,1553.0,1849.0,6804.0,6804.0,592.0,6212.0,7396.0,11.0,11.0,1.0,10.0,12.0,2.0,2.0,0.0,2.0,2.0,25116561862.5,25116561862.5,36133534.5,25080428328.0,25152695397.0,25116541862.5,25116541862.5,36133534.5,25080408328.0,25152675397.0
AntPool.com-old2,1F8XkuFbUEqQ3FK77dVaP6WZW4k1UeQm48,pool,2.0,534.0,10000.0,10000.0,10000.0,0.0,20000.0,20000.0,1110.0,1110.0,737.0,373.0,1847.0,4440.0,4440.0,2948.0,1492.0,7388.0,7.0,7.0,5.0,2.0,12.0,2.0,2.0,0.0,2.0,2.0,13801632883.5,13801632883.5,11300172523.5,2501460360.0,25101805407.0,13801622883.5,13801622883.5,11300162523.5,2501460360.0,25101785407.0
AntPool.com-old2,1J2AuX1zhaYoQpTMQ2uUsKuhDUJgEHaRGx,pool,2.0,92.0,10000.0,10000.0,10000.0,0.0,20000.0,20000.0,888.0,888.0,514.0,374.0,1402.0,3552.0,3552.0,2056.0,1496.0,5608.0,5.5,5.5,3.5,2.0,9.0,2.0,2.0,0.0,2.0,2.0,12576422337.5,12576422337.5,7527728445.5,5048693892.0,20104150783.0,12576412337.5,12576412337.5,7527718445.5,5048693892.0,20104130783.0
AntPool.com-old2,172h6cm47VjMaN8LBhpW6Ckte68GDKGtr5,pool,2.0,446.0,10000.0,10000.0,10000.0,0.0,20000.0,20000.0,1037.0,1037.0,221.0,816.0,1258.0,4148.0,4148.0,884.0,3264.0,5032.0,6.5,6.5,1.5,5.0,8.0,2.0,2.0,0.0,2.0,2.0,12217043321.5,12217043321.5,7115215187.5,5101828134.0,19332258509.0,12217033321.5,12217033321.5,7115205187.5,5101828134.0,19332238509.0
AntPool.com-old2,1Ccy1J16SnPDXHGzzTUV7D9Uk5KTAjRFzf,pool,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,743.0,743.0,73.0,670.0,816.0,2972.0,2972.0,292.0,2680.0,3264.0,4.5,4.5,0.5,4.0,5.0,2.0,2.0,0.0,2.0,2.0,7565225905.0,7565225905.0,2463397771.0,5101828134.0,10028623676.0,7565225905.0,7565225905.0,2463397771.0,5101828134.0,10028623676.0
AntPool.com-old2,1JHnd3XaZToP4i2RTsVfUvgBszq4JUVdqN,pool,2.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,594.5,594.5,221.5,373.0,816.0,2378.0,2378.0,886.0,1492.0,3264.0,3.5,3.5,1.5,2.0,5.0,2.0,2.0,0.0,2.0,2.0,5064880125.5,5064880125.5,36948008.5,5027932117.0,5101828134.0,5064880125.5,5064880125.5,36948008.5,5027932117.0,5101828134.0
AntPool.com-old2,1Q9qtYBxi4Xmq83NUive59bzHiyg6CXHdH,pool,2.0,495.0,10000.0,10000.0,10000.0,0.0,20000.0,20000.0,1110.5,1110.5,737.5,373.0,1848.0,4442.0,4442.0,2950.0,1492.0,7392.0,7.0,7.0,5.0,2.0,12.0,2.0,2.0,0.0,2.0,2.0,13801268598.5,13801268598.5,11299808238.5,2501460360.0,25101076837.0,13801258598.5,13801258598.5,11299798238.5,2501460360.0,25101056837.0
AntPool.com-old2,18SLsRNqaRDsVPbLQ9cme5vVoEpp7VS6FS,pool,2.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,595.0,595.0,221.0,374.0,816.0,2380.0,2380.0,884.0,1496.0,3264.0,3.5,3.5,1.5,2.0,5.0,2.0,2.0,0.0,2.0,2.0,3806239726.0,3806239726.0,1201907491.0,2604332235.0,5008147217.0,3806239726.0,3806239726.0,1201907491.0,2604332235.0,5008147217.0
AntPool.com-old2,18czGCvzqMpUXrK1pm7gn9DMfXAa1qyEdW,pool,2.0,129.0,10000.0,10000.0,10000.0,0.0,20000.0,20000.0,962.5,962.5,146.5,816.0,1109.0,3850.0,3850.0,586.0,3264.0,4436.0,6.0,6.0,1.0,5.0,7.0,2.0,2.0,0.0,2.0,2.0,10074247859.0,10074247859.0,7469915624.0,2604332235.0,17544163483.0,10074237859.0,10074237859.0,7469905624.0,2604332235.0,17544143483.0
AntPool.com-old2,1KQFtrCeZXkLcehVmoWKC36K2Xys9RBYJ8,pool,2.0,589.0,0.0,0.0,0.0,0.0,0.0,0.0,594.5,594.5,221.5,373.0,816.0,2378.0,2378.0,886.0,1492.0,3264.0,3.5,3.5,1.5,2.0,5.0,2.0,2.0,0.0,2.0,2.0,3810340797.0,3810340797.0,1206008562.0,2604332235.0,5016349359.0,3810340797.0,3810340797.0,1206008562.0,2604332235.0,5016349359.0
AntPool.com-old2,1UYUCByYA4iNjLJHg4i2UET8rCZqzBTKn,pool,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,594.5,594.5,221.5,373.0,816.0,2378.0,2378.0,886.0,1492.0,3264.0,3.5,3.5,1.5,2.0,5.0,2.0,2.0,0.0,2.0,2.0,3818067442.5,3818067442.5,1213735207.5,2604332235.0,5031802650.0,3818067442.5,3818067442.5,1213735207.5,2604332235.0,5031802650.0
AntPool.com-old2,141DeFXNxUPCtpt2xVPXRmXoimwK3fdM5L,pool,2.0,86.0,10000.0,10000.0,10000.0,0.0,20000.0,20000.0,1037.0,1037.0,221.0,816.0,1258.0,4148.0,4148.0,884.0,3264.0,5032.0,6.5,6.5,1.5,5.0,8.0,2.0,2.0,0.0,2.0,2.0,15934097240.0,15934097240.0,3398161269.0,12535935971.0,19332258509.0,15934087240.0,15934087240.0,3398151269.0,12535935971.0,19332238509.0
AntPool.com-old2,14x9LdgZ9urKWAsNSPxXbHKeRm84mC2PAo,pool,2.0,147.0,20000.0,20000.0,0.0,20000.0,20000.0,0.0,1552.5,1552.5,295.5,1257.0,1848.0,6210.0,6210.0,1182.0,5028.0,7392.0,10.0,10.0,2.0,8.0,12.0,2.0,2.0,0.0,2.0,2.0,20103761802.5,20103761802.5,4997315034.5,15106446768.0,25101076837.0,20103741802.5,20103741802.5,4997315034.5,15106426768.0,25101056837.0
AntPool.com-old2,1H6RsrWq3TreWRD2QFvBbbBSz3BjBnyxa7,pool,2.0,553.0,20000.0,20000.0,0.0,20000.0,20000.0,0.0,1773.0,1773.0,75.0,1698.0,1848.0,7092.0,7092.0,300.0,6792.0,7392.0,11.5,11.5,0.5,11.0,12.0,2.0,2.0,0.0,2.0,2.0,17201198706.0,17201198706.0,7899878131.0,9301320575.0,25101076837.0,17201178706.0,17201178706.0,7899878131.0,9301300575.0,25101056837.0
