entity,address,label,n_transactions,block_height_max-min,fee_mean,fee_median,fee_std,fee_min,fee_max,fee_max-min,size_mean,size_median,size_std,size_min,size_max,weight_mean,weight_median,weight_std,weight_min,weight_max,vin_sz_mean,vin_sz_median,vin_sz_std,vin_sz_min,vin_sz_max,vout_sz_mean,vout_sz_median,vout_sz_std,vout_sz_min,vout_sz_max,inputsAmount_mean,inputsAmount_median,inputsAmount_std,inputsAmount_min,inputsAmount_max,outputsAmount_mean,outputsAmount_median,outputsAmount_std,outputsAmount_min,outputsAmount_max
AbraxasMarket,1MsXrTD3fpDXpbmKyjiLo6Y7VMiDLE4Gdn,darknet,48.0,10388.0,45723.3333,20000.0,75201.1512,10000.0,355420.0,345420.0,1827.7917,372.5,3355.7629,191.0,13651.0,7311.1667,1490.0,13423.0515,764.0,54604.0,11.9167,2.0,22.7237,1.0,92.0,1.75,2.0,0.433,1.0,2.0,566591510.2083,38829339.0,1432816657.3266,7000000.0,6543550379.0,566545786.875,38819339.0,1432753036.7195,6980000.0,6543365699.0
AbraxasMarket,1MGvrrJbHXjurdrxh9LjYFFmSGWdagzmAy,darknet,48.0,10043.0,76511.25,20000.0,149368.1986,0.0,736000.0,736000.0,2742.5833,520.5,6645.3711,192.0,30613.0,10970.3333,2082.0,26581.4844,768.0,122452.0,17.75,3.0,45.1514,1.0,207.0,3.3542,2.0,4.4744,1.0,21.0,1627882367.9167,122123434.5,4615623384.926,104324.0,29888891755.0,1627805856.6667,122058684.5,4615574051.7934,94324.0,29888881755.0
AbraxasMarket,1EqQBUe8eFWo9LiRaH9hpEC6P8BBZyH5Bf,darknet,47.0,8993.0,24330.8511,20000.0,19373.5826,10000.0,119600.0,109600.0,711.9787,373.0,774.092,225.0,3618.0,2847.9149,1492.0,3096.3681,900.0,14472.0,4.2553,2.0,5.2732,1.0,24.0,2.1915,2.0,0.6063,2.0,5.0,303643901.3617,115207633.0,381289349.8947,1985760.0,1623672646.0,303619570.5106,115187633.0,381274190.733,1965760.0,1623553046.0
AbraxasMarket,1PkhKCTeuBfTYtURfks77jyJDysqirvjsv,darknet,48.0,8699.0,38226.875,20000.0,79479.1555,3683.0,538420.0,534737.0,1151.1042,441.5,3531.0759,225.0,24124.0,4604.4167,1766.0,14124.3035,900.0,96496.0,7.0417,2.0,23.9765,1.0,163.0,2.75,2.0,2.7348,2.0,20.0,398212250.0625,14886998.5,1190805484.9093,327741.0,6477761545.0,398174023.1875,14861998.5,1190733121.6367,297741.0,6477223125.0
AbraxasMarket,1FsHqKyhVg7QgjH8GQGbp9WNZrfUm3Gi7F,darknet,48.0,29330.0,48746.7708,23660.0,82606.3635,10000.0,505880.0,495880.0,997.5,600.0,1585.1627,225.0,8928.0,3990.0,2400.0,6340.6508,900.0,35712.0,5.3333,1.5,11.0233,1.0,60.0,5.9167,2.5,5.1552,2.0,20.0,1647927754.125,861311239.5,2117116211.0183,5433529.0,8587509000.0,1647879007.3542,861291239.5,2117099206.8115,5413529.0,8587473365.0
AbraxasMarket,15vy9sMyi9FQXn4roY8SAZ8tdTPcjtV6mk,darknet,48.0,8568.0,78134.5417,20000.0,179233.7969,6036.0,945460.0,939424.0,2833.9583,299.5,8434.4952,225.0,45645.0,11335.8333,1198.0,33737.981,900.0,182580.0,18.6875,1.5,57.1931,1.0,309.0,2.0,2.0,0.0,2.0,2.0,1077786860.7708,97706755.0,3066223834.2241,2020043.0,18514216485.0,1077708726.2292,97673463.5,3066073924.427,2000043.0,18513474805.0
AbraxasMarket,18K265h7CYsnQeeacXWwNihaT5tP9fqG8h,darknet,48.0,17886.0,36171.6667,15000.0,132224.5165,10000.0,939760.0,929760.0,1374.7917,519.0,5787.1665,225.0,40931.0,5499.1667,2076.0,23148.6661,900.0,163724.0,8.7917,3.0,39.2396,1.0,277.0,2.0,2.0,0.0,2.0,2.0,288800621.6458,39438324.0,1385442826.1139,2241315.0,9744289761.0,288764449.9792,39423324.0,1385310939.4819,2231315.0,9743350001.0
AbraxasMarket,1Gx2iLvZ4MtnEvpUpJrTf7kqhVuWeNCpUe,darknet,48.0,9907.0,31047.1875,30000.0,21125.2184,20000.0,154920.0,134920.0,821.7708,520.5,1113.6576,372.0,7745.0,3287.0833,2082.0,4454.6306,1488.0,30980.0,5.0,3.0,7.5636,2.0,52.0,2.1667,2.0,0.4249,1.0,3.0,431662812.5625,176934180.5,756667441.9067,50367877.0,4955515446.0,431631765.375,176909180.5,756649702.8572,50335506.0,4955360526.0
AbraxasMarket,1HnxDPBtRLNqMRCzbyZYP4XgMKDC9kFEyv,darknet,47.0,7814.0,51254.2128,20000.0,132707.5905,5997.0,930500.0,924503.0,1888.1489,770.0,6534.2673,225.0,45801.0,7552.5957,3080.0,26137.0693,900.0,183204.0,11.3191,3.0,44.435,1.0,310.0,6.0213,2.0,9.4023,2.0,60.0,2153534192.9574,1220421513.0,2804470275.7599,124552902.0,15100000000.0,2153482938.7447,1220401513.0,2804460408.2384,124532902.0,15099970000.0
AbraxasMarket,14pKfvxhgAgrkvNydrjEpH6Lv1pqh6JgSu,darknet,47.0,16571.0,83899.5745,20000.0,229335.911,2600.0,1290520.0,1287920.0,3441.0213,336.0,11420.9307,225.0,64083.0,13764.0851,1344.0,45683.7228,900.0,256332.0,22.5532,1.0,77.5159,1.0,434.0,2.0,2.0,0.0,2.0,2.0,748918365.7447,98271933.0,1638587251.7945,2855655.0,6798496311.0,748834466.1702,98251933.0,1638407148.6473,2853055.0,6798111471.0
